row,timestamp,time delta,Step,Learning_Rate,Loss,Reconstruction_Loss,Cycle_Consistency...,Motion_Linearity_...
69,2019-04-14 15:43:02.166017,14.080860138,689,1.000000000e-04,1.069191033e-02,1.069191033e-02,6.233942159e-03,1.199548237e-03
70,2019-04-14 15:43:16.282802,14.116772413,699,1.000000000e-04,1.193665704e-02,1.193665704e-02,6.857467210e-03,8.682199870e-04
71,2019-04-14 15:43:30.364385,14.081676960,709,1.000000000e-04,1.214957917e-02,1.214957917e-02,6.836782675e-03,6.467023602e-04
72,2019-04-14 15:43:44.439748,14.075293541,719,1.000000000e-04,1.047248729e-02,1.047248729e-02,6.061660801e-03,7.264833752e-04
73,2019-04-14 15:43:58.532845,14.093077898,729,1.000000000e-04,1.044378332e-02,1.044378332e-02,6.158099556e-03,1.004191459e-03
74,2019-04-14 15:44:12.622948,14.090085268,739,1.000000000e-04,1.129531581e-02,1.129531581e-02,6.519852113e-03,7.408183359e-04
75,2019-04-14 15:44:26.706835,14.083993196,749,1.000000000e-04,1.136353938e-02,1.136353938e-02,6.470441027e-03,4.790232924e-04
76,2019-04-14 15:44:40.822276,14.115328074,759,1.000000000e-04,8.715348691e-03,8.715348691e-03,5.142690404e-03,8.282998722e-04
77,2019-04-14 15:44:54.910292,14.088024855,769,1.000000000e-04,1.222001910e-02,1.222001910e-02,6.934299227e-03,1.470005797e-03
78,2019-04-14 15:45:08.992202,14.081892014,779,1.000000000e-04,1.208937233e-02,1.208937233e-02,6.747840112e-03,1.089264383e-03
79,2019-04-14 15:45:23.068234,14.076122046,789,1.000000000e-04,1.125396714e-02,1.125396714e-02,6.620023353e-03,1.214567514e-03
80,2019-04-14 15:45:37.181930,14.113626242,799,1.000000000e-04,1.095703724e-02,1.095703724e-02,6.245796313e-03,1.273432048e-03
81,2019-04-14 15:45:51.254194,14.072244406,809,1.000000000e-04,1.340620629e-02,1.340620629e-02,7.379181357e-03,1.082957687e-03
82,2019-04-14 15:46:05.348149,14.093952179,819,1.000000000e-04,9.644870041e-03,9.644870041e-03,5.396007956e-03,8.330437355e-04
83,2019-04-14 15:46:19.422235,14.074083567,829,1.000000000e-04,1.202061190e-02,1.202061190e-02,6.939924485e-03,8.704252657e-04
84,2019-04-14 15:46:33.524886,14.102713585,839,1.000000000e-04,8.615628583e-03,8.615628583e-03,4.884725157e-03,1.128117819e-03
85,2019-04-14 15:46:47.626114,14.101228476,849,1.000000000e-04,1.103020399e-02,1.103020399e-02,6.321964227e-03,9.522706212e-04
86,2019-04-14 15:47:01.683084,14.056925058,859,1.000000000e-04,1.338839852e-02,1.338839852e-02,7.409763429e-03,9.387313388e-04
87,2019-04-14 15:47:15.790012,14.106875896,869,1.000000000e-04,1.305285646e-02,1.305285646e-02,7.441248046e-03,1.010063506e-03
88,2019-04-14 15:47:29.877286,14.087291718,879,1.000000000e-04,1.054734816e-02,1.054734816e-02,6.305404217e-03,9.004310879e-04
89,2019-04-14 15:47:43.938139,14.060893536,889,1.000000000e-04,1.401377190e-02,1.401377190e-02,7.988060033e-03,4.524253061e-04
90,2019-04-14 15:47:57.994000,14.055845976,899,1.000000000e-04,1.154897790e-02,1.154897790e-02,6.732042925e-03,4.682322673e-04
91,2019-04-14 15:48:12.087938,14.093936443,909,1.000000000e-04,1.042290712e-02,1.042290712e-02,6.127923331e-03,6.057082879e-04
92,2019-04-14 15:48:26.202175,14.114207268,919,1.000000000e-04,1.113942615e-02,1.113942615e-02,6.409902056e-03,6.948837661e-04
93,2019-04-14 15:48:40.310287,14.108211994,929,1.000000000e-04,1.089972663e-02,1.089972663e-02,6.172549678e-03,5.159992041e-04
94,2019-04-14 15:48:54.390327,14.079972029,939,1.000000000e-04,1.128759878e-02,1.128759878e-02,6.272921758e-03,8.557759691e-04
95,2019-04-14 15:49:08.463142,14.072783709,949,1.000000000e-04,1.167832804e-02,1.167832804e-02,6.897698343e-03,9.959324991e-04
96,2019-04-14 15:49:22.544785,14.081614971,959,1.000000000e-04,1.258817185e-02,1.258817185e-02,7.629600400e-03,1.009091520e-03
97,2019-04-14 15:49:36.610505,14.065836906,969,1.000000000e-04,1.098613013e-02,1.098613013e-02,6.575869024e-03,9.570577531e-04
98,2019-04-14 15:49:50.669716,14.059133768,979,1.000000000e-04,1.232601423e-02,1.232601423e-02,7.044435339e-03,1.080533030e-03
99,2019-04-14 15:50:04.732020,14.062256575,989,1.000000000e-04,1.055757906e-02,1.055757906e-02,5.931114312e-03,8.526554331e-04
100,2019-04-14 15:50:18.830328,14.098345995,999,1.000000000e-04,1.103126579e-02,1.103126579e-02,6.170058250e-03,9.442838200e-04
101,2019-04-14 15:50:32.939141,14.108764172,1009,1.000000000e-04,1.067020106e-02,1.067020106e-02,6.038367678e-03,8.008008299e-04
