row,timestamp,time delta,Step,Learning_Rate,Total_Loss,Reconstruction_Loss,Cycle_Consistency...,Motion_Linearity_...,Stable_Motion_Loss,Temporal_Regulari...
65,2019-04-18 15:53:16.456190,14.281236410,649,1.000000000e-04,1.295951447e-02,1.295951447e-02,7.603251329e-03,1.731318695e-03,4.210475832e-03,8.825835865e-03
66,2019-04-18 15:53:30.640566,14.184409618,659,1.000000000e-04,1.072097169e-02,1.072097169e-02,6.282311212e-03,2.188034134e-03,3.364184749e-03,6.007788470e-03
67,2019-04-18 15:53:44.907376,14.266781092,669,1.000000000e-04,1.002337807e-02,1.002337807e-02,5.988374911e-03,1.171366987e-03,2.496795496e-03,8.081225073e-03
68,2019-04-18 15:53:59.124997,14.217653275,679,1.000000000e-04,1.127492595e-02,1.127492595e-02,6.622279389e-03,1.220315052e-03,2.867896738e-03,8.442414366e-03
69,2019-04-18 15:54:13.388025,14.263052940,689,1.000000000e-04,1.067921128e-02,1.067921128e-02,6.295814435e-03,1.479843835e-03,3.343544272e-03,9.283586964e-03
70,2019-04-18 15:54:27.597773,14.209718227,699,1.000000000e-04,1.195916263e-02,1.195916263e-02,6.978278048e-03,1.790302631e-03,3.104331088e-03,7.919156132e-03
71,2019-04-18 15:54:41.812576,14.214760065,709,1.000000000e-04,1.220272053e-02,1.220272053e-02,6.996804243e-03,1.776448271e-03,3.751135408e-03,6.955475453e-03
72,2019-04-18 15:54:56.159653,14.347106695,719,1.000000000e-04,1.044508750e-02,1.044508750e-02,6.199574238e-03,1.442218700e-03,3.152571013e-03,7.130879816e-03
73,2019-04-18 15:55:10.347925,14.188305140,729,1.000000000e-04,1.039820290e-02,1.039820290e-02,6.091438560e-03,1.190485479e-03,2.734371298e-03,7.440223685e-03
74,2019-04-18 15:55:24.613869,14.265871763,739,1.000000000e-04,1.133268131e-02,1.133268131e-02,6.688407157e-03,1.362179063e-03,3.416897170e-03,7.939539477e-03
75,2019-04-18 15:55:38.819760,14.205924273,749,1.000000000e-04,1.134976731e-02,1.134976731e-02,6.588292541e-03,1.204708996e-03,2.520180040e-03,7.021385012e-03
76,2019-04-18 15:55:53.058234,14.238577843,759,1.000000000e-04,8.700573258e-03,8.700573258e-03,5.196465226e-03,8.976666344e-04,1.821370830e-03,6.378446519e-03
77,2019-04-18 15:56:07.346522,14.288156509,769,1.000000000e-04,1.225385414e-02,1.225385414e-02,7.047478575e-03,9.381854325e-04,2.336097124e-03,7.635146054e-03
78,2019-04-18 15:56:21.561882,14.215382099,779,1.000000000e-04,1.201642416e-02,1.201642416e-02,6.795209087e-03,1.080467115e-03,2.522274002e-03,8.358494285e-03
79,2019-04-18 15:56:35.766777,14.204868317,789,1.000000000e-04,1.115939845e-02,1.115939845e-02,6.483857846e-03,1.108399086e-03,2.548531350e-03,8.372877538e-03
80,2019-04-18 15:56:49.983253,14.216547012,799,1.000000000e-04,1.095007774e-02,1.095007774e-02,6.238496583e-03,1.127813818e-03,2.323364175e-03,8.763746824e-03
81,2019-04-18 15:57:04.175953,14.192681313,809,1.000000000e-04,1.338661131e-02,1.338661131e-02,7.333800360e-03,1.580725168e-03,3.234405303e-03,7.440902665e-03
82,2019-04-18 15:57:18.427669,14.251701355,819,1.000000000e-04,9.621340455e-03,9.621340455e-03,5.507639819e-03,1.302180090e-03,3.154799505e-03,6.193870469e-03
83,2019-04-18 15:57:32.602008,14.174365997,829,1.000000000e-04,1.203618180e-02,1.203618180e-02,7.334102411e-03,1.485289296e-03,3.002420149e-03,8.624666091e-03
