index,triplet_id,model_id,num_steps,ssim_val,psnr_val,ms_ssim_val,strategy,coef_loss_e,coef_loss_t,coef_loss_m,s1_epochs,max_epochs,model_description
47,2031,2019-04-23T083858,14034.0,0.976067305,36.00850677,0.994948685,original_cycle_gen,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
48,1311,2019-04-21T092001,28069.0,0.981859982,38.57426834,0.995660722,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
49,911,2019-04-18T233637,14034.0,0.945049822,32.53810883,0.987456083,accel_adjust,0.0,0.1,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
50,811,2019-04-22T082112,28069.0,0.963932097,35.95598221,0.9905048009999999,original_cycle_gen,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
51,1651,2019-04-21T092001,28069.0,0.9380748870000001,28.08715248,0.972540677,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
52,631,2019-04-23T141504,14034.0,0.983007669,39.91889954,0.995134354,accel_adjust,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
53,351,2019-04-21T092001,28069.0,0.965873063,31.31648636,0.9916753770000001,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
54,1111,2019-04-20T215827,28069.0,0.991008222,44.71260834,0.9980082509999999,accel_adjust,0.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt
55,411,2019-04-22T082112,28069.0,0.570899189,21.30340576,0.753794372,original_cycle_gen,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
56,3081,2019-04-22T082112,28069.0,0.67557025,18.23249054,0.5607283120000001,original_cycle_gen,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
57,2981,2019-04-20T151155,28069.0,0.990904033,42.73142624,0.997903109,accel_adjust,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 0.5)
58,331,2019-04-20T012234,28069.0,0.96798116,33.27592087,0.992662609,original_cycle_gen,0.0,0.0,0.1,5.0,10.0,[Baseline]  CyclicGen
59,3511,ours.png,,0.894508183,25.2488308,0.9686307909999999,base(deep_voxel_flow),,,,,,[Baseline]  Deep Voxel Flow
60,111,2019-04-17T191452,0.0,0.95549053,33.70726395,0.98153621,original_cycle_gen,0.0,0.0,0.1,0.0,0.0,[Baseline]  1 Batch Only
61,181,2019-04-20T012234,28069.0,0.99725312,46.700321200000005,0.999401867,original_cycle_gen,0.0,0.0,0.1,5.0,10.0,[Baseline]  CyclicGen
62,1771,2019-04-18T233637,14034.0,0.957039654,31.57676506,0.9714654090000001,accel_adjust,0.0,0.1,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
63,961,2019-04-22T082112,28069.0,0.993673563,45.60828781,0.998423576,original_cycle_gen,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
64,3481,2019-04-21T092001,28069.0,0.9753147959999999,37.7711525,0.993341446,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
65,2041,2019-04-23T141504,14034.0,0.988150179,38.3219986,0.996247232,accel_adjust,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
66,3071,2019-04-21T092001,28069.0,0.9412565829999999,33.89633179,0.965414524,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
67,1891,2019-04-21T092001,28069.0,0.9304363729999999,26.74017143,0.9716784359999999,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
68,2541,ours.png,,0.9796242709999999,39.18426514,0.9947946670000001,base(deep_voxel_flow),,,,,,[Baseline]  Deep Voxel Flow
69,3121,2019-04-20T215827,28069.0,0.997563183,45.75073242,0.999279439,accel_adjust,0.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt
70,951,2019-04-17T191452,0.0,0.9165732259999999,28.57401657,0.95880419,original_cycle_gen,0.0,0.0,0.1,0.0,0.0,[Baseline]  1 Batch Only
71,1161,2019-04-23T083858,14034.0,0.94998312,30.82691193,0.980591953,original_cycle_gen,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
72,3781,2019-04-18T164451,14034.0,0.984418392,34.83573532,0.9939053059999999,accel_adjust,0.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
73,11,2019-04-17T191452,0.0,0.8608515259999999,25.71188736,0.911948144,original_cycle_gen,0.0,0.0,0.1,0.0,0.0,[Baseline]  1 Batch Only
74,1,2019-04-22T082112,28069.0,0.9652676579999999,29.20359993,0.984012187,original_cycle_gen,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
75,1,2019-04-23T141504,14034.0,0.9653071759999999,29.21300316,0.984196007,accel_adjust,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
76,2671,2019-04-17T191452,0.0,0.81984216,23.27234459,0.9059851170000001,original_cycle_gen,0.0,0.0,0.1,0.0,0.0,[Baseline]  1 Batch Only
77,3001,2019-04-20T012234,28069.0,0.901991069,28.24185562,0.964090407,original_cycle_gen,0.0,0.0,0.1,5.0,10.0,[Baseline]  CyclicGen
78,1761,2019-04-21T092001,28069.0,0.9391198159999999,30.56570625,0.9648954270000001,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
79,2171,2019-04-18T164451,14034.0,0.928898275,29.70935059,0.979643345,accel_adjust,0.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
80,3201,2019-04-20T215827,28069.0,0.9863497609999999,38.25446701,0.997927248,accel_adjust,0.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt
81,821,2019-04-23T083858,14034.0,0.9694953559999999,34.70449066,0.9911649229999999,original_cycle_gen,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
82,3221,2019-04-21T092001,28069.0,0.9808578490000001,36.35007477,0.994781017,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
83,3311,2019-04-20T012234,28069.0,0.9068646429999999,27.62143898,0.960872114,original_cycle_gen,0.0,0.0,0.1,5.0,10.0,[Baseline]  CyclicGen
84,591,2019-04-19T174028,14034.0,0.9905300140000001,42.172107700000005,0.998314083,original_cycle_gen,0.0,0.0,0.1,5.0,5.0,[Baseline]  Stage 1 Only
85,911,2019-04-20T012234,28069.0,0.948319137,32.84318924,0.98836422,original_cycle_gen,0.0,0.0,0.1,5.0,10.0,[Baseline]  CyclicGen
86,411,2019-04-20T151155,28069.0,0.568866432,21.27613449,0.7530124779999999,accel_adjust,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 0.5)
87,1561,2019-04-22T082112,28069.0,0.7833188179999999,25.55719757,0.872968912,original_cycle_gen,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
88,641,2019-04-23T083858,14034.0,0.919004679,26.76617622,0.966276348,original_cycle_gen,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
89,41,2019-04-20T012234,28069.0,0.9813573959999999,34.35113525,0.990679979,original_cycle_gen,0.0,0.0,0.1,5.0,10.0,[Baseline]  CyclicGen
90,2441,2019-04-22T082112,28069.0,0.9974205490000001,46.87775421,0.999024093,original_cycle_gen,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
91,2571,2019-04-23T083858,14034.0,0.89603442,29.4993782,0.9686012270000001,original_cycle_gen,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
92,1901,2019-04-20T151155,28069.0,0.871388376,23.70376968,0.8907114859999999,accel_adjust,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 0.5)
93,461,2019-04-22T082112,28069.0,0.9961993690000001,42.92996216,0.9990963340000001,original_cycle_gen,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
94,2071,2019-04-17T191452,0.0,0.890828669,31.08708191,0.966382027,original_cycle_gen,0.0,0.0,0.1,0.0,0.0,[Baseline]  1 Batch Only
95,751,2019-04-17T191452,0.0,0.9701409940000001,34.19515991,0.991269112,original_cycle_gen,0.0,0.0,0.1,0.0,0.0,[Baseline]  1 Batch Only
96,1171,2019-04-20T215827,28069.0,0.7953745720000001,27.37259483,0.909155905,accel_adjust,0.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt
97,1531,2019-04-23T083858,14034.0,0.939709902,32.10567093,0.9526181220000001,original_cycle_gen,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
98,1531,2019-04-18T233637,14034.0,0.947927713,32.00976181,0.95806092,accel_adjust,0.0,0.1,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
99,731,2019-04-18T164451,14034.0,0.995267868,47.27212524,0.998980045,accel_adjust,0.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
100,331,2019-04-20T215827,28069.0,0.9679120179999999,33.28196335,0.992666423,accel_adjust,0.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt
101,1751,2019-04-20T151155,28069.0,0.98198843,36.84344864,0.9908782840000001,accel_adjust,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 0.5)
102,2181,2019-04-21T224636,28069.0,0.9064622520000001,25.58821678,0.9381327629999999,accel_adjust,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 1.0)
103,3781,ours.png,,0.990129232,36.79069138,0.9970790740000001,base(deep_voxel_flow),,,,,,[Baseline]  Deep Voxel Flow
104,2611,2019-04-20T215827,28069.0,0.9501456620000001,32.0875206,0.9734544159999999,accel_adjust,0.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt
105,3231,2019-04-22T082112,28069.0,0.9844803809999999,36.410507200000005,0.995838404,original_cycle_gen,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
106,791,2019-04-21T224636,28069.0,0.9530128840000001,32.48113632,0.985680997,accel_adjust,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 1.0)
107,3081,2019-04-23T141504,14034.0,0.666980028,18.15155029,0.556942284,accel_adjust,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
108,1241,2019-04-21T224636,28069.0,0.9770219920000001,31.486063,0.989438355,accel_adjust,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 1.0)
109,331,2019-04-19T174028,14034.0,0.9665819999999999,32.92226028,0.992035627,original_cycle_gen,0.0,0.0,0.1,5.0,5.0,[Baseline]  Stage 1 Only
110,1041,2019-04-21T224636,28069.0,0.861376703,23.20543671,0.906770229,accel_adjust,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 1.0)
111,2201,2019-04-18T233637,14034.0,0.962479293,29.61921883,0.987798631,accel_adjust,0.0,0.1,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
112,331,2019-04-23T083858,14034.0,0.969853401,33.69890213,0.993258655,original_cycle_gen,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
113,1541,2019-04-22T082112,28069.0,0.840978324,23.65133095,0.914380133,original_cycle_gen,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
114,441,ours.png,,0.999816895,50.97953415,0.999972403,base(deep_voxel_flow),,,,,,[Baseline]  Deep Voxel Flow
115,3301,2019-04-19T174028,14034.0,0.863492191,27.07485962,0.970180333,original_cycle_gen,0.0,0.0,0.1,5.0,5.0,[Baseline]  Stage 1 Only
116,641,2019-04-17T191452,0.0,0.890522003,25.86921501,0.9511227609999999,original_cycle_gen,0.0,0.0,0.1,0.0,0.0,[Baseline]  1 Batch Only
117,741,2019-04-21T092001,28069.0,0.9795966740000001,37.36792374,0.994257629,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
118,1971,2019-04-21T092001,28069.0,0.925896466,30.1558094,0.977193594,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
119,2961,2019-04-21T224636,28069.0,0.992719173,43.12355804,0.9986196159999999,accel_adjust,1.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 1.0)
120,1911,2019-04-21T092001,28069.0,0.9404860140000001,28.10587311,0.984823227,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
121,3651,2019-04-18T233637,14034.0,0.907135427,26.38411331,0.971285045,accel_adjust,0.0,0.1,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
122,3361,2019-04-20T215827,28069.0,0.97480756,33.31292343,0.980129063,accel_adjust,0.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt
123,1621,2019-04-20T151155,28069.0,0.9849591259999999,39.36234665,0.99180001,accel_adjust,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 0.5)
124,1311,2019-04-18T164451,14034.0,0.980280459,38.07992172,0.995100975,accel_adjust,0.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
