index,triplet_id,model_id,num_steps,ssim_val,psnr_val,ms_ssim_val
85,911,2019-04-20T012234,28069,0.948319137,32.84318924,0.98836422
86,411,2019-04-20T151155,28069,0.568866432,21.27613449,0.753012478
87,1561,2019-04-22T082112,28069,0.783318818,25.55719757,0.872968912
88,641,2019-04-23T083858,14034,0.919004679,26.76617622,0.966276348
89,41,2019-04-20T012234,28069,0.981357396,34.35113525,0.990679979
90,2441,2019-04-22T082112,28069,0.997420549,46.87775421,0.999024093
91,2571,2019-04-23T083858,14034,0.89603442,29.4993782,0.968601227
92,1901,2019-04-20T151155,28069,0.871388376,23.70376968,0.890711486
93,461,2019-04-22T082112,28069,0.996199369,42.92996216,0.999096334
94,2071,2019-04-17T191452,0,0.890828669,31.08708191,0.966382027
95,751,2019-04-17T191452,0,0.970140994,34.19515991,0.991269112
96,1171,2019-04-20T215827,28069,0.795374572,27.37259483,0.909155905
97,1531,2019-04-23T083858,14034,0.939709902,32.10567093,0.952618122
98,1531,2019-04-18T233637,14034,0.947927713,32.00976181,0.95806092
99,731,2019-04-18T164451,14034,0.995267868,47.27212524,0.998980045
100,331,2019-04-20T215827,28069,0.967912018,33.28196335,0.992666423
101,1751,2019-04-20T151155,28069,0.98198843,36.84344864,0.990878284
102,2181,2019-04-21T224636,28069,0.906462252,25.58821678,0.938132763
103,3781,ours.png,,0.990129232,36.79069138,0.997079074
104,2611,2019-04-20T215827,28069,0.950145662,32.0875206,0.973454416
105,3231,2019-04-22T082112,28069,0.984480381,36.4105072,0.995838404
106,791,2019-04-21T224636,28069,0.953012884,32.48113632,0.985680997
107,3081,2019-04-23T141504,14034,0.666980028,18.15155029,0.556942284
108,1241,2019-04-21T224636,28069,0.977021992,31.486063,0.989438355
109,331,2019-04-19T174028,14034,0.966582,32.92226028,0.992035627
110,1041,2019-04-21T224636,28069,0.861376703,23.20543671,0.906770229
111,2201,2019-04-18T233637,14034,0.962479293,29.61921883,0.987798631
112,331,2019-04-23T083858,14034,0.969853401,33.69890213,0.993258655
113,1541,2019-04-22T082112,28069,0.840978324,23.65133095,0.914380133
114,441,ours.png,,0.999816895,50.97953415,0.999972403
115,3301,2019-04-19T174028,14034,0.863492191,27.07485962,0.970180333
116,641,2019-04-17T191452,0,0.890522003,25.86921501,0.951122761
117,741,2019-04-21T092001,28069,0.979596674,37.36792374,0.994257629
118,1971,2019-04-21T092001,28069,0.925896466,30.1558094,0.977193594
119,2961,2019-04-21T224636,28069,0.992719173,43.12355804,0.998619616
120,1911,2019-04-21T092001,28069,0.940486014,28.10587311,0.984823227
121,3651,2019-04-18T233637,14034,0.907135427,26.38411331,0.971285045
122,3361,2019-04-20T215827,28069,0.97480756,33.31292343,0.980129063
123,1621,2019-04-20T151155,28069,0.984959126,39.36234665,0.99180001
124,1311,2019-04-18T164451,14034,0.980280459,38.07992172,0.995100975
125,2861,2019-04-20T151155,28069,0.949959934,33.25209808,0.983520269
126,2041,2019-04-20T012234,28069,0.987850964,38.58143616,0.996504009
127,2761,2019-04-20T151155,28069,0.992180526,43.25799942,0.997505009
